"t"	"p_{exp}, {/Symbol l}=1.5"	"p_{theor}, {/Symbol l}=1.5"	
0.1	0.129	0.139292	
0.2	0.244	0.259182	
0.3	0.35	0.362372	
0.4	0.443	0.451188	
0.5	0.524	0.527633	
0.6	0.593	0.59343	
0.7	0.642	0.650062	
0.8	0.684	0.698806	
0.9	0.729	0.74076	
1	0.761	0.77687	
1.1	0.799	0.80795	
1.2	0.819	0.834701	
1.3	0.844	0.857726	
1.4	0.863	0.877544	
1.5	0.88	0.894601	
1.6	0.894	0.909282	
1.7	0.913	0.921918	
1.8	0.926	0.932794	
1.9	0.937	0.942156	
2	0.94	0.950213	
2.1	0.947	0.957148	
2.2	0.952	0.963117	
2.3	0.959	0.968254	
2.4	0.962	0.972676	
2.5	0.967	0.976482	
2.6	0.968	0.979758	
2.7	0.969	0.982578	
2.8	0.973	0.985004	
2.9	0.98	0.987093	
3	0.98	0.988891	
3.1	0.98	0.990438	
3.2	0.981	0.99177	
3.3	0.985	0.992917	
3.4	0.987	0.993903	
3.5	0.987	0.994752	
3.6	0.989	0.995483	
3.7	0.989	0.996113	
3.8	0.991	0.996654	
3.9	0.991	0.99712	
4	0.992	0.997521	
4.1	0.992	0.997867	
4.2	0.993	0.998164	
4.3	0.994	0.998419	
4.4	0.995	0.99864	
4.5	0.995	0.998829	
4.6	0.995	0.998992	
4.7	0.996	0.999133	
4.8	0.996	0.999253	
4.9	0.997	0.999357	
5	0.997	0.999447	
